"Date","Price","Open","High","Low","Vol.","Change %"
"02/26/2025","755.22","758.26","763.59","755.09","","-0.39%"
"02/25/2025","758.20","770.23","776.15","758.18","","-1.58%"
"02/24/2025","770.34","788.43","789.70","769.45","","-1.83%"
"02/21/2025","784.68","785.68","798.64","783.19","","-0.11%"
"02/20/2025","785.54","807.68","807.68","783.41","","-2.64%"
"02/19/2025","806.84","811.35","816.80","800.84","","-0.41%"
"02/18/2025","810.14","805.04","813.44","797.43","","1.43%"
"02/17/2025","798.75","813.65","814.87","797.72","","-1.81%"
"02/14/2025","813.51","828.06","828.06","802.74","","-1.76%"
"02/13/2025","828.05","832.23","832.23","818.94","","-0.45%"
"02/12/2025","831.79","829.02","838.50","821.23","","0.65%"
"02/11/2025","826.42","808.47","830.83","808.47","","2.23%"
"02/10/2025","808.40","826.10","832.31","807.35","","-1.98%"
"02/07/2025","824.73","821.39","827.90","815.17","","0.39%"
"02/06/2025","821.51","829.73","838.97","819.59","","-0.99%"
"02/05/2025","829.70","840.80","847.57","824.10","","-1.32%"
"02/04/2025","840.80","815.96","843.56","811.13","","3.05%"
"02/03/2025","815.91","825.25","825.25","796.89","","-1.21%"
"01/31/2025","825.91","822.11","846.29","819.54","","0.46%"
"01/30/2025","822.15","812.57","828.01","812.57","","1.10%"
"01/29/2025","813.19","800.30","815.29","800.30","0.00K","1.61%"
"01/28/2025","800.30","796.61","810.86","784.87","0.00K","0.46%"
"01/27/2025","796.61","785.44","796.61","776.88","0.00K","1.42%"
"01/24/2025","785.46","809.05","809.34","785.10","0.00K","-2.87%"
"01/23/2025","808.67","794.61","809.14","793.14","0.00K","1.76%"
"01/22/2025","794.69","804.57","804.57","790.39","0.00K","-1.23%"
"01/21/2025","804.56","813.28","816.14","801.52","0.00K","-1.09%"
"01/20/2025","813.45","820.95","830.88","813.45","0.00K","-0.92%"
"01/17/2025","820.97","853.93","853.93","810.17","0.00K","-3.86%"
"01/16/2025","853.93","863.66","864.13","849.73","0.00K","-1.10%"
"01/15/2025","863.42","866.65","869.43","856.16","0.00K","-0.34%"
"01/14/2025","866.35","866.34","875.99","861.27","0.00K","-0.14%"
"01/13/2025","867.57","861.81","875.56","856.02","0.00K","0.66%"
"01/10/2025","861.84","816.77","864.21","816.77","0.00K","5.52%"
"01/09/2025","816.77","821.34","825.87","810.48","0.00K","-0.55%"
"01/08/2025","821.29","823.24","826.57","816.16","0.00K","-0.24%"
"01/07/2025","823.30","812.29","823.77","792.63","0.00K","1.23%"
"01/06/2025","813.27","821.19","825.03","802.72","0.00K","-1.03%"
"01/03/2025","821.73","838.62","841.04","820.63","0.00K","-2.01%"
"01/02/2025","838.55","793.14","840.69","793.14","0.00K","5.75%"
"12/30/2024","792.95","796.47","807.29","791.79","0.00K","-0.44%"
"12/27/2024","796.47","777.82","804.72","777.82","0.00K","2.43%"
"12/23/2024","777.56","756.86","779.91","756.86","0.00K","2.73%"
"12/20/2024","756.89","750.25","758.60","746.65","0.00K","0.89%"
"12/19/2024","750.25","752.65","758.80","746.27","0.00K","-0.36%"
"12/18/2024","752.96","738.11","757.85","737.95","0.00K","2.02%"
"12/17/2024","738.06","773.11","773.11","737.27","0.00K","-4.54%"
"12/16/2024","773.17","787.08","793.79","766.96","0.00K","-1.81%"
"12/13/2024","787.42","783.18","791.33","782.72","0.00K","0.35%"
"12/12/2024","784.68","799.68","801.76","776.79","0.00K","-1.63%"
"12/11/2024","797.70","811.17","812.91","796.56","0.00K","-1.38%"
"12/10/2024","808.86","816.07","816.07","792.67","0.00K","0.71%"
"12/09/2024","803.19","806.34","817.34","800.35","0.00K","-0.40%"
"12/06/2024","806.39","817.92","827.24","804.52","0.00K","-1.24%"
"12/05/2024","816.49","830.85","832.21","807.37","0.00K","-0.86%"
"12/04/2024","823.58","817.43","836.34","817.43","0.00K","0.74%"
"12/03/2024","817.52","808.68","818.66","805.47","0.00K","1.08%"
